second_max,Speed_mean,net_acc_max,net_gyro_max,pitch_mean,No_of_Years_driving_exp,gender,driver_rating,driver_age,car_age,roll_yaw_mean,label,prediction_time
4.0,5.0,4.0,3.0,5.0,7.0,1.0,4.0,5.0,6.0,7.810249675906654,not dangerous,2024-02-08 13:33:20.830117
7443745278.0,5.0,4.0,3.0,5.0,7.0,1.0,4.0,5.0,6.0,7.810249675906654,dangerous,2024-02-08 13:33:31.781595
833.1,9.280290423781384,12.70520804707382,0.5294125061234268,-5.621366271314752,19.5,1,3.2099998,49.0,22.8,40.28870025388867,not dangerous,2024-02-08 13:34:19.008617
894.1,8.436775832495835,12.554071446422878,0.8557559271360449,1.228471514766505,17.5,1,4.1099997,48.0,21.9,33.85925202735834,dangerous,2024-02-08 13:34:19.008617
795.1,8.59262761145529,13.01479532468134,0.8144160944518701,-0.5146495058150964,15.2,0,4.1400003,48.5,18.1,32.79431465222852,dangerous,2024-02-08 13:34:19.008617
980.0,7.60901395622288,12.355854922359445,1.3343259478114462,0.5698419154980259,16.2,0,3.65,48.1,27.5,46.39121856588503,dangerous,2024-02-08 13:34:19.008617
1001.3,7.054409748216338,12.839255281670535,0.6735470858310543,-0.2672055440184987,15.6,0,3.48,48.7,21.5,35.93619037264117,dangerous,2024-02-08 13:34:19.008617
904.6,9.912659822431127,12.863415731394458,0.6565536616085205,-0.813884894751453,16.8,1,3.55,48.5,23.0,79.01035911473538,not dangerous,2024-02-08 13:34:19.008617
958.4,10.860267856027178,12.802484077745158,0.864438751434661,-1.469239395141089,18.6,0,3.5700002,48.2,21.8,3.2992021553487274,dangerous,2024-02-08 13:34:19.008617
1106.2,9.66192756479398,13.138632230824006,0.8037842537179086,7.035383947829303,18.1,1,3.6,47.9,22.7,32.650738316640016,dangerous,2024-02-08 13:34:19.008617
675.3,10.190844763282849,13.387411730897488,2.694791830177067,-0.2177728265019284,14.2,1,3.48,48.3,23.8,66.37323711918421,not dangerous,2024-02-08 13:34:19.008617
1069.0,6.9945793033394255,13.225435448702006,0.6724657633418247,-1.2759630787983571,16.4,0,3.8400002,48.9,19.9,32.83127701575719,dangerous,2024-02-08 13:34:19.008617
866.3,6.495004178612534,12.449972847187006,1.3471472351363711,1.1214942475084728,18.2,1,3.4599998,48.5,22.3,25.331352199958076,dangerous,2024-02-08 13:34:19.008617
995.8,7.988009052205458,12.58956024225475,0.7628329336733161,-1.2135564176174438,13.9,0,3.8200002,47.6,22.4,50.664736535419514,dangerous,2024-02-08 13:34:19.008617
1015.8,9.594816946854523,12.74149939317418,0.8466974760482071,2.3725214348269903,16.1,1,4.0099998,49.1,23.8,45.35735537866567,dangerous,2024-02-08 13:34:19.008617
